               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071098,            0.024741,            0.027209,              0.7648,             0.81347,             0.83115,             0.47216,            0.034325,           0.0076553,           0.0055273,            0.070115,           0.0033205,           0.0033205
                   1,            0.049241,             0.01462,           0.0056926,             0.62261,             0.84749,              0.8068,             0.39322,            0.034887,           0.0052969,           0.0033071,            0.039896,           0.0064343,           0.0064343
                   2,            0.043287,              0.0122,           0.0039961,             0.90283,             0.93378,             0.94655,             0.59412,            0.027581,           0.0049926,            0.002952,           0.0094562,            0.009328,            0.009328
                   3,            0.037625,            0.011338,            0.003137,             0.90371,             0.93941,             0.95127,             0.67692,            0.023338,           0.0047538,            0.002316,             0.00901,             0.00901,             0.00901
                   4,            0.033037,            0.010592,            0.002709,             0.96314,             0.96365,             0.98176,             0.68497,            0.020721,           0.0045489,           0.0017709,             0.00901,             0.00901,             0.00901
                   5,            0.030289,            0.010109,           0.0022397,             0.96621,             0.97907,             0.98877,             0.71656,            0.019769,           0.0043476,           0.0018043,             0.00868,             0.00868,             0.00868
                   6,            0.028766,           0.0098371,           0.0019999,              0.9858,              0.9876,             0.99045,             0.76306,            0.018055,           0.0040457,           0.0016064,             0.00835,             0.00835,             0.00835
                   7,            0.027764,            0.009746,            0.001682,             0.98908,              0.9891,             0.99212,             0.77377,            0.017119,            0.003931,           0.0014232,             0.00802,             0.00802,             0.00802
                   8,            0.025383,            0.009279,           0.0015305,             0.99199,             0.98089,             0.99032,             0.75555,            0.018154,             0.00387,           0.0015477,             0.00769,             0.00769,             0.00769
                   9,            0.024931,           0.0091542,           0.0013632,              0.9949,               0.992,             0.99022,             0.79327,            0.017018,           0.0037491,           0.0014094,             0.00736,             0.00736,             0.00736
                  10,            0.023768,           0.0089989,           0.0013921,              0.9931,               0.992,             0.99151,             0.78488,            0.016291,           0.0038224,           0.0014548,             0.00703,             0.00703,             0.00703
                  11,            0.023047,           0.0086952,           0.0011874,             0.99329,             0.99225,             0.99214,             0.80077,             0.01603,            0.003555,           0.0014189,              0.0067,              0.0067,              0.0067
                  12,            0.022436,           0.0085713,          0.00099694,             0.99166,               0.992,             0.99204,             0.81631,            0.014877,           0.0035786,             0.00135,             0.00637,             0.00637,             0.00637
                  13,              0.0215,           0.0082611,          0.00090221,             0.99284,               0.992,             0.99198,             0.80756,            0.014719,           0.0034944,           0.0013641,             0.00604,             0.00604,             0.00604
                  14,            0.021224,            0.008229,          0.00082144,             0.99328,             0.99284,              0.9915,             0.82616,            0.014704,           0.0034938,           0.0013042,             0.00571,             0.00571,             0.00571
                  15,            0.020674,           0.0079904,           0.0010097,             0.99015,             0.99131,             0.99151,             0.81751,            0.015018,           0.0035497,           0.0013329,             0.00538,             0.00538,             0.00538
                  16,            0.020424,           0.0079872,          0.00076483,             0.99423,             0.99295,             0.99163,             0.82726,            0.014343,           0.0033813,           0.0012821,             0.00505,             0.00505,             0.00505
                  17,            0.019881,           0.0078349,          0.00081868,             0.99219,             0.99326,              0.9903,             0.83378,            0.014285,           0.0034334,           0.0012899,             0.00472,             0.00472,             0.00472
                  18,            0.019269,           0.0077312,          0.00064775,              0.9935,             0.99326,             0.99104,             0.83258,            0.014444,           0.0033523,           0.0012446,             0.00439,             0.00439,             0.00439
                  19,            0.018807,           0.0078308,          0.00061563,               0.994,             0.99326,             0.99172,             0.83705,            0.013871,            0.003358,           0.0012491,             0.00406,             0.00406,             0.00406
                  20,            0.018731,           0.0076755,          0.00061432,             0.99419,             0.99239,             0.99236,             0.84071,             0.01384,           0.0033038,           0.0012167,             0.00373,             0.00373,             0.00373
                  21,            0.018342,            0.007489,          0.00058986,             0.99408,             0.99223,             0.99219,             0.84812,            0.013351,           0.0032085,           0.0012143,              0.0034,              0.0034,              0.0034
                  22,            0.017697,            0.007495,           0.0005107,             0.99389,             0.99326,             0.99256,             0.84526,            0.013258,           0.0033119,           0.0012001,             0.00307,             0.00307,             0.00307
                  23,            0.017551,           0.0073284,          0.00045112,             0.99293,             0.99326,             0.99156,             0.84902,            0.013311,           0.0032116,           0.0012154,             0.00274,             0.00274,             0.00274
                  24,            0.017309,           0.0071932,          0.00043278,             0.99341,             0.99326,             0.99173,             0.85263,             0.01314,           0.0031884,           0.0012553,             0.00241,             0.00241,             0.00241
                  25,            0.017155,           0.0072312,          0.00046259,             0.99412,             0.99326,             0.99118,             0.85242,            0.013124,           0.0032121,           0.0012203,             0.00208,             0.00208,             0.00208
                  26,            0.016713,           0.0073055,          0.00047242,             0.99427,             0.99326,             0.99182,             0.85707,            0.013129,           0.0031987,           0.0012252,             0.00175,             0.00175,             0.00175
                  27,            0.016381,           0.0072396,          0.00042629,             0.99417,             0.99302,             0.99151,             0.85476,            0.013152,           0.0031838,           0.0012268,             0.00142,             0.00142,             0.00142
                  28,            0.015994,           0.0069695,          0.00038711,             0.99413,             0.99326,             0.99179,             0.85405,             0.01312,           0.0031628,           0.0012617,             0.00109,             0.00109,             0.00109
                  29,            0.015699,           0.0069336,          0.00039726,               0.994,             0.99326,              0.9914,             0.85883,            0.012799,           0.0031437,           0.0012807,             0.00076,             0.00076,             0.00076
